ticker,company_role,event_type,direction,confidence,materiality,novelty,source_type,published_date,source_url,event_cluster_id,human_review_required,score_deltas,raw_text
RVMD,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT02573519,8d05b8c8e969,False,"{'asset_quality': -0.25785874999999997, 'seller_willingness': 0.11499999999999999}",RVMD NA trial discontinued terminated withdrawn Gastrointestinal Motility Among Diabetes Patients NCT02573519
MRUS,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT05588609,71b73762b9e9,False,"{'asset_quality': -0.271788125, 'seller_willingness': 0.1261435}",MRUS Phase 2 trial discontinued terminated withdrawn Study Evaluating Zenocutuzumab in Patients With or Without Molecularly Defined Cancers NCT05588609
IOVA,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT06190249,e3315a6beb3e,False,"{'asset_quality': -0.32072982499999997, 'seller_willingness': 0.06899999999999999}",IOVA Phase 1 trial discontinued terminated withdrawn Efficacy & Safety for LN144 With Pembrolizumab With High Risk Stage IIIb-dResectable Melanoma NCT06190249
IOVA,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT03645928,7fae245d3c23,False,"{'asset_quality': -0.271788125, 'seller_willingness': 0.1261435}",IOVA Phase 2 trial discontinued terminated withdrawn Study of Autologous Tumor Infiltrating Lymphocytes in Patients With Solid Tumors NCT03645928
CLDX,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT04536077,2c96a33b362d,False,"{'asset_quality': -0.271788125, 'seller_willingness': 0.1261435}",CLDX Phase 2 trial discontinued terminated withdrawn Immunologic Effects of CDX-301 and CDX-1140 in Resectable Pancreatic Cancer Patients NCT04536077
CLDX,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT02837991,e3cece2b2861,False,"{'asset_quality': -0.32072982499999997, 'seller_willingness': 0.06899999999999999}","CLDX Phase 1 trial discontinued terminated withdrawn A Dose Escalation, Safety and Activity Study of CDX-014 in Patients With Renal Cell Carcinoma and Ovarian Clear Cell Carcinoma NCT02837991"
REPL,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT06067061,6f639ab12236,False,"{'asset_quality': -0.271788125, 'seller_willingness': 0.1261435}","REPL Phase 1 Phase 2 trial discontinued terminated withdrawn ""neoBREASTIM"": Atezolizumab Plus RP1 Oncolytic Immunotherapy in the NeoAdjuvant Setting of Triple-Negative Breast Cancer NCT06067061"
RLAY,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT07336355,f26c51dad91c,False,"{'asset_quality': -0.25785874999999997, 'seller_willingness': 0.11499999999999999}",RLAY NA trial discontinued terminated withdrawn Feasibility of an Analgesic Device Enabling Local Anesthetic Delivery and Neuromodulation After Knee Surgery NCT07336355
TGTX,target,trial_discontinuation,negative,0.969,0.385,0.65,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT04635683,f696f81d50f5,False,"{'asset_quality': -0.24671525, 'seller_willingness': 0.11499999999999999}","TGTX Phase 1 trial discontinued terminated withdrawn Lenalidomide, Umbralisib, and Ublituximab for the Treatment of Relapsed or Refractory Indolent Non-Hodgkin Lymphoma or Mantle Cell Lymphoma NCT0463"
TGTX,target,clinical_negative_ph3,negative,0.969,1.0,0.7,clinicaltrials_gov,2026-07-16,https://clinicaltrials.gov/api/v2/studies/NCT02793583,15d80099d1c3,True,"{'asset_quality': -0.37374999999999997, 'seller_willingness': 0.0823722}",TGTX Phase 2 Phase 3 trial discontinued terminated withdrawn Study to Assess the Efficacy and Safety of Ublituximab + Umbralisib With or Without Bendamustine and Umbralisib Alone in Patients With Prev
